Сверхъестественное; Supernatural; Warner Brothers Television;  2005 ;  - ; 13; 280;  ужасы, мистика, фэнтази, приключения, драма; Джаред Падалеки, Дженсен Эклс, Миша Коллинз, Марк Шеппард, Марк Преллегрино; США.
Во все тяжкие; Breaking Bad;  Sony Pictures Television International; 2008; 2013; 5; 62; криминальная драма, триллер, современный вестерн, черная комедия; Брайан Кренстон, Аарон Пол, Анна Ганн, Дин Норрис, Бетси Брандт, Ар Джей Митт, Боб Оденкерк; США.
Теория большого взрыва; Big Bang Theory; Warner Brothers Television; 2007; -; 11; 248; ситуационная комедия; Джонни Галэки, Джим Парсонс, Кейли Куоко, Саймон Хелберг, Кунал Найяр, Сара Гилберт, Маим Бялик, Мелисса Ройч, Кевин Зусман; США. 
Обмани меня; Lie to me; FOX; 2009; 2011; 3; 48; драма, психологический детектив; Тим Рот, Келли Уильямс, Брендан Хайнс, Моника Рэймунд, Хейли Макфарланд, Мекхи Файфер; США.
Доктор Хаус;  House, M.D.;Universal Television; 2004; 2012; 8; 177; медицинская драма; Хью Лори, Лиза Эдельштейн, Омар Эппс, Роберт Шон Леонард, Дженифер Моррисон, Джесси Спенсер, Питер Джейкобсон, Кэл Пенн, Оливия Уайлд, Эмбер Тэмблин, Одетт Эннэйбл, Шарлин И; США.
Однажды в сказке; Once Upon a Time; ABC Studios; 2011; 2017; 7; 156; фэнтези, драма; Джиннифер Гудвин, Дженнифер Моррисон, Лана Паррия, Джошуа Даллас, Джаред Гилмор, Роберт Карлайл, Рафаэль Сбардж; США.
Милые обманщицы;  Pretty Little Liars; Warner Brothers Television; 2010; 2017; 7; 160; подростковая драма; Тройэн Беллисарио, Эшли Бенсон, Люси Хейл, Шей Митчелл, Саща Питрес, Тайлер Блэкберн, Холли Мари Комбс, Иэн Хардинг, Бьянка Лоусон,Чад Лоу, Джанель Пэрриш; США.
Говорящая с призраками; Ghost Whisperer; CBS; 2005; 2010; 5; 107; сверхъестественная драма, фэнтези, триллер, процедурная драма, мистика; Дженнифер Лав Хьюитт, Дэвид Конрад, Аиша Тайлер, Кэмрин Мангейм, Джей Мор, Кристоф Сандрес, Джейми Кеннеди, Коннор Гибс; США.
Зачарованные; Charmed; Spelling Television; 2001; 2005; 8; 178; сверхъестественная драма, комедия-драма, фэнтези, хоррор; Шеннен Доэрти, Холли Мари Комбс, Алисса Милано, Роуз Макгоуэн, Дориан Грегори, Тед Кинг, Грег Воган, Кэрис Брайант, Брайан Краузе, Джулиан Макмэхон, Дрю Фуллер, Кейли Куоко; США.
H2O:просто добавь воды; H2O: Just Add Water; Netflix; 2006; 2010; 3; 78; детский, подростковая драма, молодёжный, фэнтези, ситуационная комедия; Кариба Хейн, Фиби Тонкин, Ангус Макларен, Клэр Холт, Индиана Эванс, Брёджес Эбернети, Британи Бернс, Клео Мэсси, Джейми Тимони, Люк Митчелл, Трент Салливан; Австралия.
Волшебники из Вэйверли Плейс; Wizards of Waverly Place; It's a Laugh Productions; 2007; 2013; 4; 106; молодёжный, фэнтези, ситуационная комедия; Селена Гомес, Дэвид Генри, Джейк Ти Остин, Дженнифер Стоун, Мария Кэнелс-Баррера, Дэвид Деуис; США.
Ханна Монтана; Hannah Montana; It's a Laugh Productions; 2006; 2011; 4; 98; молодёжный, ситуационная комедия; Майли Сайрус, Эмили Осмент, Митчел Муссо, Джейсон Эрлз, Мойзес Ариас, Билли Рэй Сайрус; США.
Волчонок; Teen Wolf; MTV; 2011; 2017; 6; 100; подростковая драма, мистика, ужасы, комедия-драма; Тайлер Пози, Кристал Рид, Дилан О'Брайен, Тайлер Хеклин, Холланд Роден, Колтон Хэйнс, Шелли Хенниг, Арден Чо, Дилан Спрейберри, Линден Эшби, Мелисса Понцио, Джей Ар Борн; США.
Пожизненный приговор; Life Sentence; Warner Brothers Television; 2018; -; 1; 13; комедия, драма; Люси Хейл, Эллиот Найт, Джейсон Блэр, Брук Лайонс, Карлос ПенаВега, Джиллиан Вигмэн, Дилан Уолш; США.
